"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-6873","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"hsa-mir-6874","1","1","0","0","0","0","2","0","1","2","0","0","6","0","0","2","0","0","2","0","2","0","0","0","4","0","1","1","0","1","2","1","1","3","2"
"hsa-mir-6875","1","0","1","0","0","2","0","0","1","1","1","0","0","1","0","1","1","3","1","1","0","0","0","0","3","0","1","2","4","1","1","0","0","0","1"
"hsa-mir-6876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-6877","0","0","1","0","0","0","0","0","0","0","0","0","3","1","1","0","0","2","1","2","2","0","0","0","0","0","1","4","0","0","1","3","0","0","1"
"hsa-mir-6878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-6879","0","0","0","0","1","1","0","3","3","0","0","0","4","2","1","0","0","0","0","1","0","0","1","0","0","1","1","0","1","2","0","0","0","1","3"
"hsa-mir-6880","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-6881","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-6882","0","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0"
"hsa-mir-6883","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6884","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","2","0","0","0"
"hsa-mir-6885","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"hsa-mir-6886","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","1","1","0","0","0"
"hsa-mir-6887","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","2"
"hsa-mir-6888","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","2"
"hsa-mir-6889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-6890","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6891","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","1","0","0","0","1","1","2","2","0","2","1","1","0"
"hsa-mir-6892","6","10","7","6","5","7","4","5","20","2","5","2","20","2","2","4","8","7","14","9","3","0","3","1","35","6","5","3","12","10","18","17","3","7","14"
"hsa-mir-6893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-6894","0","0","0","0","0","2","1","0","0","0","2","0","2","1","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","2","0","0","0","0"
"hsa-mir-6895","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-7-1","23","34","36","123","31","209","46","55","297","33","50","25","418","207","131","361","92","51","65","277","325","44","80","69","250","25","118","380","218","233","144","584","157","83","326"
"hsa-mir-7-2","0","5","1","1","9","11","1","3","9","1","4","0","26","11","7","7","7","1","0","15","87","2","23","7","7","6","45","42","29","4","5","17","7","4","5"
"hsa-mir-7-3","0","4","0","3","6","13","1","1","13","0","3","0","18","4","4","4","4","0","0","12","71","1","24","2","6","2","31","28","21","11","2","14","7","3","4"
"hsa-mir-708","86","37","303","48","18","66","92","115","204","43","98","53","182","62","85","75","135","67","87","500","143","4","245","15","1418","60","1061","341","669","357","375","926","86","187","594"
"hsa-mir-7106","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
