"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-mir-4511","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","2","0","1","0","0","1","0","0","0"
"hsa-mir-4512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-4513","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4515","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","2","2","0","0","0","1","1","3","0","1","1","0","1","0","2","0","0","1","0","0","2","0","1","0"
"hsa-mir-4516","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4517","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"hsa-mir-4518","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4519","2","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1"
"hsa-mir-451a","21821","9809","10438","1866","6954","4188","12357","6647","3092","9394","12724","3650","8306","2518","11963","19938","6001","9235","8249","3187","18997","10737","2387","4832","2671","4075","5124","1206","1872","2753","1023","409","340","4319","11307","593","4333","673","20323","4665","233","1584","1005","126317","1379","4016","4280","85","243","2406"
"hsa-mir-451b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-452","707","210","93","83","856","55","300","61","246","130","269","80","232","35","183","131","97","126","91","647","481","723","170","99","633","3479","2708","3411","2958","1829","31","55","1048","2187","1521","498","456","97","1381","790","110","3188","1568","170","319","406","393","563","306","476"
"hsa-mir-4520-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4520-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-4521","4","1","1","3","5","0","0","4","4","1","2","0","0","1","3","3","2","3","3","3","0","1","0","1","1","8","0","0","2","0","0","1","0","2","4","0","1","0","4","0","1","2","1","3","3","3","2","0","1","2"
"hsa-mir-4522","4","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","0","0","2","1","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","2","1","0","1","0","1"
"hsa-mir-4523","0","0","0","0","0","1","3","0","0","0","1","3","0","0","1","0","2","0","0","0","0","0","0","0","0","0","4","2","1","1","0","0","2","1","3","4","0","0","1","1","1","2","0","1","0","5","1","0","0","0"
"hsa-mir-4524a","33","11","10","9","7","5","10","6","14","13","9","9","15","7","17","5","20","10","9","13","10","11","5","9","6","0","4","2","2","7","1","3","4","5","20","2","5","1","2","22","1","22","12","2","0","8","83","0","1","0"
